Subzone,Population_Density,Latitude,Longitude
Ang Mo Kio Town Centre,15178.2897,1.3712845,103.84699364624538
Cheng San,29411.1484,1.357107,103.8194992
Chong Boon,24568.8856,1.36820695,103.85636035693713
Kebun Bahru,21616.9725,1.4883459,103.7506999
Sembawang Hills,7657.9094,1.3723986,103.8290294792003
Shangri-La,23201.0467,1.3112474,103.8267568
Tagore,2385.0239,1.3857511,103.82799269390641
Townsville,38689.6047,1.3594914,103.8551716
Yio Chu Kang,22.0824,1.3817905,103.8449359
Yio Chu Kang East,2240.478,1.3817905,103.8449359
Yio Chu Kang West,28859.9426,1.3817905,103.8449359
Bayshore,2954.0048,1.3128118,103.93903292138398
Bedok North,25551.8436,1.3344768,103.91828105834635
Bedok Reservoir,10704.3793,1.3425058,103.92522980731215
Bedok South,15576.8333,1.3172941,103.94968140811523
Frankel,8026.9037,1.3191482,103.9142645
Kaki Bukit,13176.5624,1.3360277,103.9018509
Kembangan,15691.3668,1.3210321,103.9129269
Siglap,5955.794,1.3176986,103.9185698
Bishan East,15771.5877,1.3509859,103.84825507492937
Marymount,15053.8727,1.34860435,103.83939255166875
Upper Thomson,7611.4262,1.354498,103.83282055067511
Liu Fang,4.2637,39.9568025,116.4266211
Samulun,5.2463,1.302728,103.69742826207886
Tukang,5.3277,1.3253215,103.7092754
Brickworks,16170.3516,1.2869332,103.80756011310467
Bukit Batok Central,34099.7126,1.3515765,103.7483905
Bukit Batok East,33377.1699,1.3490572,103.7495906
Bukit Batok South,8259.1138,1.3490572,103.7495906
Bukit Batok West,28441.4107,1.3455305,103.7397329
Gombak,4044.6418,1.3588929,103.7518249
Guilin,11925.1682,1.3539591999999998,103.75245291425546
Hillview,9700.4423,1.3624042,103.76742729372796
Hong Kah North,30435.2886,1.3553973,103.7214297
Alexandra Hill,13089.4624,1.277477,103.8018803
Alexandra North,8987.9931,1.277477,103.8018803
Bukit Ho Swee,26078.2892,1.2879953,103.82856441508395
Bukit Merah,2696.138,1.2704395,103.82831840176756
City Terminals,5.899,1.2476261499999999,103.68697439819525
Depot Road,14756.3177,1.2814839,103.8044179
Everton Park,12285.6693,1.2771286000000002,103.8393679151902
Henderson Hill,22462.0573,1.28115755,103.82106078273195
Kampong Tiong Bahru,24691.6964,1.2756728,103.83359127611081
Maritime Square,1373.8662,1.2641895,103.8192954
Redhill,27237.7533,1.2896482,103.8167677
Singapore General Hospital,18.7441,1.27944885,103.83628049727403
Telok Blangah Drive,13285.6553,1.272321,103.8119045
Telok Blangah Rise,22765.5987,1.2713635,103.8237998
Telok Blangah Way,33333.3333,1.2747195,103.8227681
Tiong Bahru,28765.9005,1.28617925,103.82722523285841
Tiong Bahru Station,43101.4823,1.2860113,103.8274107
Bangkit,29130.1504,1.3800554,103.7726443
Dairy Farm,5605.8158,1.3651581,103.7740781
